"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
18344,"$1 under $25,000",840
18344,"$25,000 under $50,000",470
18344,"$50,000 under $75,000",220
18344,"$75,000 under $100,000",140
18344,"$100,000 under $200,000",180
18344,"$200,000 or more",** 0
,,
18346,,"1,600"
18346,"$1 under $25,000",670
18346,"$25,000 under $50,000",380
18346,"$50,000 under $75,000",240
18346,"$75,000 under $100,000",150
18346,"$100,000 under $200,000",160
18346,"$200,000 or more",** 0
,,
18347,,"1,390"
18347,"$1 under $25,000",530
18347,"$25,000 under $50,000",350
18347,"$50,000 under $75,000",200
18347,"$75,000 under $100,000",130
18347,"$100,000 under $200,000",150
18347,"$200,000 or more",30
,,
18350,,800
18350,"$1 under $25,000",260
18350,"$25,000 under $50,000",130
18350,"$50,000 under $75,000",90
18350,"$75,000 under $100,000",110
18350,"$100,000 under $200,000",150
18350,"$200,000 or more",60
,,
18352,,310
18352,"$1 under $25,000",120
18352,"$25,000 under $50,000",60
18352,"$50,000 under $75,000",40
18352,"$75,000 under $100,000",40
18352,"$100,000 under $200,000",50
18352,"$200,000 or more",** 0
,,
18353,,"5,770"
18353,"$1 under $25,000",2060
18353,"$25,000 under $50,000",1200
18353,"$50,000 under $75,000",860
18353,"$75,000 under $100,000",660
18353,"$100,000 under $200,000",870
18353,"$200,000 or more",120
,,
18354,,570
18354,"$1 under $25,000",190
18354,"$25,000 under $50,000",130
18354,"$50,000 under $75,000",90
18354,"$75,000 under $100,000",70
18354,"$100,000 under $200,000",90
18354,"$200,000 or more",** 0
,,
18355,,660
18355,"$1 under $25,000",270
18355,"$25,000 under $50,000",130
18355,"$50,000 under $75,000",80
18355,"$75,000 under $100,000",70
18355,"$100,000 under $200,000",110
18355,"$200,000 or more",** 0
,,
18360,,"13,620"
18360,"$1 under $25,000",5490
18360,"$25,000 under $50,000",2790
18360,"$50,000 under $75,000",1770
18360,"$75,000 under $100,000",1260
18360,"$100,000 under $200,000",1870
18360,"$200,000 or more",440
,,
18370,,550
18370,"$1 under $25,000",200
18370,"$25,000 under $50,000",120
18370,"$50,000 under $75,000",80
18370,"$75,000 under $100,000",60
18370,"$100,000 under $200,000",90
18370,"$200,000 or more",** 0
,,
18371,,350
18371,"$1 under $25,000",120
18371,"$25,000 under $50,000",70
18371,"$50,000 under $75,000",50
18371,"$75,000 under $100,000",40
18371,"$100,000 under $200,000",70
18371,"$200,000 or more",** 0
,,
18372,,"1,430"
18372,"$1 under $25,000",580
18372,"$25,000 under $50,000",300
18372,"$50,000 under $75,000",190
18372,"$75,000 under $100,000",120
18372,"$100,000 under $200,000",190
18372,"$200,000 or more",50
,,
18403,,"3,780"
18403,"$1 under $25,000",1350
18403,"$25,000 under $50,000",870
18403,"$50,000 under $75,000",540
18403,"$75,000 under $100,000",390
18403,"$100,000 under $200,000",520
18403,"$200,000 or more",110
,,
18405,,"1,140"
18405,"$1 under $25,000",470
18405,"$25,000 under $50,000",250
18405,"$50,000 under $75,000",200
18405,"$75,000 under $100,000",90
18405,"$100,000 under $200,000",130
18405,"$200,000 or more",** 0
,,
18407,,"6,520"
18407,"$1 under $25,000",2890
18407,"$25,000 under $50,000",1690
18407,"$50,000 under $75,000",870
18407,"$75,000 under $100,000",490
18407,"$100,000 under $200,000",510
18407,"$200,000 or more",70
,,
18411,,"11,030"
18411,"$1 under $25,000",3520
18411,"$25,000 under $50,000",1970
18411,"$50,000 under $75,000",1560
18411,"$75,000 under $100,000",1200
18411,"$100,000 under $200,000",1980
18411,"$200,000 or more",800
,,
18414,,"2,730"
18414,"$1 under $25,000",930
18414,"$25,000 under $50,000",550
18414,"$50,000 under $75,000",400
18414,"$75,000 under $100,000",260
18414,"$100,000 under $200,000",420
18414,"$200,000 or more",170
,,
18415,,530
18415,"$1 under $25,000",200
18415,"$25,000 under $50,000",110
18415,"$50,000 under $75,000",80
18415,"$75,000 under $100,000",60
18415,"$100,000 under $200,000",80
18415,"$200,000 or more",** 0
,,
18417,,500
18417,"$1 under $25,000",200
18417,"$25,000 under $50,000",120
18417,"$50,000 under $75,000",80
18417,"$75,000 under $100,000",50
18417,"$100,000 under $200,000",50
18417,"$200,000 or more",** 0
,,
18419,,"2,130"
18419,"$1 under $25,000",810
18419,"$25,000 under $50,000",470
18419,"$50,000 under $75,000",320
18419,"$75,000 under $100,000",240
18419,"$100,000 under $200,000",240
18419,"$200,000 or more",50
,,
18421,,"2,250"
18421,"$1 under $25,000",900
18421,"$25,000 under $50,000",580
18421,"$50,000 under $75,000",350
18421,"$75,000 under $100,000",190
18421,"$100,000 under $200,000",200
18421,"$200,000 or more",30
,,
18424,,"2,620"
18424,"$1 under $25,000",920
18424,"$25,000 under $50,000",640
18424,"$50,000 under $75,000",410
18424,"$75,000 under $100,000",280
18424,"$100,000 under $200,000",310
18424,"$200,000 or more",60
,,
18425,,560
18425,"$1 under $25,000",250
18425,"$25,000 under $50,000",120
18425,"$50,000 under $75,000",80
18425,"$75,000 under $100,000",60
18425,"$100,000 under $200,000",50
18425,"$200,000 or more",** 0
,,
18426,,"1,890"
18426,"$1 under $25,000",750
18426,"$25,000 under $50,000",420
18426,"$50,000 under $75,000",270
18426,"$75,000 under $100,000",180
18426,"$100,000 under $200,000",220
18426,"$200,000 or more",50
,,
18428,,"5,600"
18428,"$1 under $25,000",2150
18428,"$25,000 under $50,000",1230
18428,"$50,000 under $75,000",770
18428,"$75,000 under $100,000",570
18428,"$100,000 under $200,000",710
18428,"$200,000 or more",170
,,
18431,,"6,300"
18431,"$1 under $25,000",2640
18431,"$25,000 under $50,000",1520
18431,"$50,000 under $75,000",920
18431,"$75,000 under $100,000",510
18431,"$100,000 under $200,000",580
18431,"$200,000 or more",130
,,
18433,,"3,400"
18433,"$1 under $25,000",1270
18433,"$25,000 under $50,000",850
18433,"$50,000 under $75,000",560
18433,"$75,000 under $100,000",340
18433,"$100,000 under $200,000",320
18433,"$200,000 or more",60
,,
18434,,"2,120"
18434,"$1 under $25,000",830
18434,"$25,000 under $50,000",570
18434,"$50,000 under $75,000",340
18434,"$75,000 under $100,000",200
18434,"$100,000 under $200,000",180
18434,"$200,000 or more",** 0
,,
18435,,480
18435,"$1 under $25,000",190
18435,"$25,000 under $50,000",90
18435,"$50,000 under $75,000",60
18435,"$75,000 under $100,000",50
18435,"$100,000 under $200,000",90
18435,"$200,000 or more",** 0
,,
18436,,"6,240"
18436,"$1 under $25,000",2280
18436,"$25,000 under $50,000",1450
18436,"$50,000 under $75,000",940
18436,"$75,000 under $100,000",650
18436,"$100,000 under $200,000",780
18436,"$200,000 or more",140
,,
18438,,560
18438,"$1 under $25,000",210
18438,"$25,000 under $50,000",110
18438,"$50,000 under $75,000",70
18438,"$75,000 under $100,000",60
18438,"$100,000 under $200,000",80
18438,"$200,000 or more",30
,,
18439,,230
18439,"$1 under $25,000",90
18439,"$25,000 under $50,000",40
18439,"$50,000 under $75,000",40
18439,"$75,000 under $100,000",30
18439,"$100,000 under $200,000",30
18439,"$200,000 or more",** 0
,,
18443,,220
18443,"$1 under $25,000",80
18443,"$25,000 under $50,000",60
18443,"$50,000 under $75,000",30
18443,"$75,000 under $100,000",20
18443,"$100,000 under $200,000",30
18443,"$200,000 or more",** 0
,,
18444,,"6,490"
18444,"$1 under $25,000",2190
18444,"$25,000 under $50,000",1350
18444,"$50,000 under $75,000",1000
18444,"$75,000 under $100,000",680
18444,"$100,000 under $200,000",1030
18444,"$200,000 or more",240
,,
18445,,"1,070"
18445,"$1 under $25,000",430
18445,"$25,000 under $50,000",240
18445,"$50,000 under $75,000",160
18445,"$75,000 under $100,000",100
18445,"$100,000 under $200,000",140
18445,"$200,000 or more",** 0
,,
18446,,"1,700"
18446,"$1 under $25,000",680
18446,"$25,000 under $50,000",430
18446,"$50,000 under $75,000",250
18446,"$75,000 under $100,000",140
18446,"$100,000 under $200,000",160
18446,"$200,000 or more",40
,,
18447,,"5,350"
18447,"$1 under $25,000",1990
18447,"$25,000 under $50,000",1450
18447,"$50,000 under $75,000",810
18447,"$75,000 under $100,000",510
18447,"$100,000 under $200,000",530
18447,"$200,000 or more",60
,,
18451,,260
18451,"$1 under $25,000",90
18451,"$25,000 under $50,000",50
18451,"$50,000 under $75,000",40
18451,"$75,000 under $100,000",30
18451,"$100,000 under $200,000",50
18451,"$200,000 or more",** 0
,,
18452,,"2,450"
18452,"$1 under $25,000",930
18452,"$25,000 under $50,000",610
18452,"$50,000 under $75,000",360
18452,"$75,000 under $100,000",250
18452,"$100,000 under $200,000",260
18452,"$200,000 or more",40
,,
18453,,490
18453,"$1 under $25,000",180
18453,"$25,000 under $50,000",120
18453,"$50,000 under $75,000",80
18453,"$75,000 under $100,000",70
18453,"$100,000 under $200,000",40
18453,"$200,000 or more",** 0
,,
18456,,200
18456,"$1 under $25,000",90
18456,"$25,000 under $50,000",50
18456,"$50,000 under $75,000",20
18456,"$75,000 under $100,000",20
18456,"$100,000 under $200,000",20
18456,"$200,000 or more",** 0
,,
18458,,"1,380"
18458,"$1 under $25,000",440
18458,"$25,000 under $50,000",300
18458,"$50,000 under $75,000",220
18458,"$75,000 under $100,000",170
18458,"$100,000 under $200,000",210
18458,"$200,000 or more",40
,,
18461,,150
18461,"$1 under $25,000",70
18461,"$25,000 under $50,000",50
18461,"$50,000 under $75,000",** 0
18461,"$75,000 under $100,000",30
18461,"$100,000 under $200,000",** 0
18461,"$200,000 or more",** 0
,,
18462,,210
18462,"$1 under $25,000",90
18462,"$25,000 under $50,000",60
18462,"$50,000 under $75,000",40
18462,"$75,000 under $100,000",** 0
18462,"$100,000 under $200,000",20
18462,"$200,000 or more",** 0
,,
18463,,110
18463,"$1 under $25,000",40
18463,"$25,000 under $50,000",40
18463,"$50,000 under $75,000",30
18463,"$75,000 under $100,000",** 0
18463,"$100,000 under $200,000",** 0
18463,"$200,000 or more",** 0
,,
18464,,710
18464,"$1 under $25,000",250
18464,"$25,000 under $50,000",150
18464,"$50,000 under $75,000",100
18464,"$75,000 under $100,000",70
18464,"$100,000 under $200,000",100
18464,"$200,000 or more",40
,,
18465,,610
18465,"$1 under $25,000",220
18465,"$25,000 under $50,000",150
18465,"$50,000 under $75,000",100
18465,"$75,000 under $100,000",60
18465,"$100,000 under $200,000",80
18465,"$200,000 or more",** 0
,,
18466,,"7,240"
18466,"$1 under $25,000",3290
18466,"$25,000 under $50,000",1810
18466,"$50,000 under $75,000",980
18466,"$75,000 under $100,000",570
18466,"$100,000 under $200,000",550
18466,"$200,000 or more",40
,,
18469,,210
18469,"$1 under $25,000",80
18469,"$25,000 under $50,000",50
18469,"$50,000 under $75,000",30
18469,"$75,000 under $100,000",20
18469,"$100,000 under $200,000",30
18469,"$200,000 or more",** 0
,,
18470,,"1,110"
18470,"$1 under $25,000",420
18470,"$25,000 under $50,000",250
18470,"$50,000 under $75,000",170
18470,"$75,000 under $100,000",100
18470,"$100,000 under $200,000",120
18470,"$200,000 or more",50
,,
18472,,"2,020"
18472,"$1 under $25,000",780
18472,"$25,000 under $50,000",490
18472,"$50,000 under $75,000",300
18472,"$75,000 under $100,000",200
18472,"$100,000 under $200,000",220
18472,"$200,000 or more",30
,,
18503,,380
18503,"$1 under $25,000",200
18503,"$25,000 under $50,000",90
18503,"$50,000 under $75,000",50
18503,"$75,000 under $100,000",20
18503,"$100,000 under $200,000",20
18503,"$200,000 or more",** 0
,,
18504,,"10,110"
18504,"$1 under $25,000",4790
18504,"$25,000 under $50,000",2650
18504,"$50,000 under $75,000",1230
18504,"$75,000 under $100,000",710
18504,"$100,000 under $200,000",670
18504,"$200,000 or more",60
,,
18505,,"9,410"
18505,"$1 under $25,000",4590
18505,"$25,000 under $50,000",2400
18505,"$50,000 under $75,000",1090
18505,"$75,000 under $100,000",620
18505,"$100,000 under $200,000",610
18505,"$200,000 or more",100
,,
18507,,"2,580"
18507,"$1 under $25,000",900
18507,"$25,000 under $50,000",640
18507,"$50,000 under $75,000",370
18507,"$75,000 under $100,000",220
18507,"$100,000 under $200,000",290
18507,"$200,000 or more",160
,,
18508,,"5,050"
18508,"$1 under $25,000",2510
18508,"$25,000 under $50,000",1390
18508,"$50,000 under $75,000",620
18508,"$75,000 under $100,000",310
18508,"$100,000 under $200,000",220
18508,"$200,000 or more",** 0
,,
18509,,"5,640"
18509,"$1 under $25,000",2570
18509,"$25,000 under $50,000",1400
18509,"$50,000 under $75,000",670
18509,"$75,000 under $100,000",380
18509,"$100,000 under $200,000",480
18509,"$200,000 or more",140
,,
18510,,"4,810"
18510,"$1 under $25,000",2240
18510,"$25,000 under $50,000",1350
18510,"$50,000 under $75,000",580
18510,"$75,000 under $100,000",300
18510,"$100,000 under $200,000",270
18510,"$200,000 or more",70
,,
18512,,"6,530"
18512,"$1 under $25,000",2500
18512,"$25,000 under $50,000",1790
18512,"$50,000 under $75,000",980
18512,"$75,000 under $100,000",600
18512,"$100,000 under $200,000",570
18512,"$200,000 or more",90
,,
18517,,"2,620"
18517,"$1 under $25,000",1100
18517,"$25,000 under $50,000",740
18517,"$50,000 under $75,000",410
18517,"$75,000 under $100,000",200
18517,"$100,000 under $200,000",170
18517,"$200,000 or more",** 0
,,
18518,,"4,420"
18518,"$1 under $25,000",1680
18518,"$25,000 under $50,000",1180
18518,"$50,000 under $75,000",690
18518,"$75,000 under $100,000",370
18518,"$100,000 under $200,000",430
18518,"$200,000 or more",70
,,
18519,,"2,770"
18519,"$1 under $25,000",1150
18519,"$25,000 under $50,000",790
18519,"$50,000 under $75,000",400
18519,"$75,000 under $100,000",230
18519,"$100,000 under $200,000",180
18519,"$200,000 or more",20
,,
18603,,"9,330"
18603,"$1 under $25,000",3930
18603,"$25,000 under $50,000",2480
18603,"$50,000 under $75,000",1310
18603,"$75,000 under $100,000",750
18603,"$100,000 under $200,000",740
18603,"$200,000 or more",120
,,
18610,,"2,380"
18610,"$1 under $25,000",920
18610,"$25,000 under $50,000",560
18610,"$50,000 under $75,000",350
18610,"$75,000 under $100,000",250
18610,"$100,000 under $200,000",280
18610,"$200,000 or more",20
,,
18612,,"7,440"
18612,"$1 under $25,000",2500
18612,"$25,000 under $50,000",1480
18612,"$50,000 under $75,000",1010
18612,"$75,000 under $100,000",790
18612,"$100,000 under $200,000",1240
18612,"$200,000 or more",420
,,
18614,,"1,140"
18614,"$1 under $25,000",440
18614,"$25,000 under $50,000",300
18614,"$50,000 under $75,000",160
18614,"$75,000 under $100,000",110
18614,"$100,000 under $200,000",130
18614,"$200,000 or more",** 0
,,
18615,,930
18615,"$1 under $25,000",350
18615,"$25,000 under $50,000",220
18615,"$50,000 under $75,000",130
18615,"$75,000 under $100,000",100
18615,"$100,000 under $200,000",110
18615,"$200,000 or more",20
,,
18616,,330
18616,"$1 under $25,000",120
18616,"$25,000 under $50,000",90
18616,"$50,000 under $75,000",60
18616,"$75,000 under $100,000",30
18616,"$100,000 under $200,000",30
18616,"$200,000 or more",** 0
,,
18617,,810
18617,"$1 under $25,000",380
18617,"$25,000 under $50,000",240
18617,"$50,000 under $75,000",110
18617,"$75,000 under $100,000",50
18617,"$100,000 under $200,000",30
18617,"$200,000 or more",** 0
,,
18618,,"1,910"
18618,"$1 under $25,000",680
18618,"$25,000 under $50,000",440
18618,"$50,000 under $75,000",290
18618,"$75,000 under $100,000",200
18618,"$100,000 under $200,000",240
18618,"$200,000 or more",60
,,
18619,,100
18619,"$1 under $25,000",40
18619,"$25,000 under $50,000",40
18619,"$50,000 under $75,000",** 0
18619,"$75,000 under $100,000",20
18619,"$100,000 under $200,000",** 0
18619,"$200,000 or more",** 0
,,
18621,,"2,400"
18621,"$1 under $25,000",890
18621,"$25,000 under $50,000",570
18621,"$50,000 under $75,000",400
18621,"$75,000 under $100,000",220
18621,"$100,000 under $200,000",320
18621,"$200,000 or more",** 0
,,
18622,,140
18622,"$1 under $25,000",40
18622,"$25,000 under $50,000",40
18622,"$50,000 under $75,000",30
18622,"$75,000 under $100,000",30
18622,"$100,000 under $200,000",** 0
18622,"$200,000 or more",** 0
,,
18623,,"1,260"
18623,"$1 under $25,000",500
18623,"$25,000 under $50,000",320
18623,"$50,000 under $75,000",190
18623,"$75,000 under $100,000",120
18623,"$100,000 under $200,000",110
18623,"$200,000 or more",20
,,
18628,,110
18628,"$1 under $25,000",40
18628,"$25,000 under $50,000",30
18628,"$50,000 under $75,000",40
18628,"$75,000 under $100,000",** 0
18628,"$100,000 under $200,000",** 0
18628,"$200,000 or more",0
,,
18629,,860
18629,"$1 under $25,000",310
18629,"$25,000 under $50,000",220
18629,"$50,000 under $75,000",140
18629,"$75,000 under $100,000",90
18629,"$100,000 under $200,000",100
18629,"$200,000 or more",** 0
,,
18630,,"1,520"
18630,"$1 under $25,000",550
18630,"$25,000 under $50,000",350
18630,"$50,000 under $75,000",260
18630,"$75,000 under $100,000",150
18630,"$100,000 under $200,000",160
18630,"$200,000 or more",50
,,
18632,,150
18632,"$1 under $25,000",60
18632,"$25,000 under $50,000",40
18632,"$50,000 under $75,000",30
18632,"$75,000 under $100,000",20
18632,"$100,000 under $200,000",** 0
18632,"$200,000 or more",0
,,
18634,,"6,430"
18634,"$1 under $25,000",2730
18634,"$25,000 under $50,000",1790
18634,"$50,000 under $75,000",940
18634,"$75,000 under $100,000",500
18634,"$100,000 under $200,000",430
18634,"$200,000 or more",40
,,
18635,,"1,940"
18635,"$1 under $25,000",720
18635,"$25,000 under $50,000",500
18635,"$50,000 under $75,000",300
18635,"$75,000 under $100,000",200
18635,"$100,000 under $200,000",190
18635,"$200,000 or more",30
,,
18636,,650
18636,"$1 under $25,000",250
18636,"$25,000 under $50,000",160
18636,"$50,000 under $75,000",120
18636,"$75,000 under $100,000",80
18636,"$100,000 under $200,000",40
18636,"$200,000 or more",** 0
,,
18640,,"8,250"
18640,"$1 under $25,000",3370
18640,"$25,000 under $50,000",2160
18640,"$50,000 under $75,000",1150
18640,"$75,000 under $100,000",630
18640,"$100,000 under $200,000",780
18640,"$200,000 or more",160
,,
18641,,"3,500"
18641,"$1 under $25,000",1370
18641,"$25,000 under $50,000",980
18641,"$50,000 under $75,000",520
18641,"$75,000 under $100,000",300
18641,"$100,000 under $200,000",300
18641,"$200,000 or more",30
,,
18642,,"2,260"
18642,"$1 under $25,000",830
18642,"$25,000 under $50,000",600
18642,"$50,000 under $75,000",330
18642,"$75,000 under $100,000",210
18642,"$100,000 under $200,000",250
18642,"$200,000 or more",40
,,
18643,,"6,260"
18643,"$1 under $25,000",2400
18643,"$25,000 under $50,000",1520
18643,"$50,000 under $75,000",990
18643,"$75,000 under $100,000",600
18643,"$100,000 under $200,000",640
18643,"$200,000 or more",110
,,
18644,,"3,900"
18644,"$1 under $25,000",1410
18644,"$25,000 under $50,000",920
18644,"$50,000 under $75,000",580
18644,"$75,000 under $100,000",390
18644,"$100,000 under $200,000",500
18644,"$200,000 or more",100
,,
18651,,"4,200"
18651,"$1 under $25,000",2010
18651,"$25,000 under $50,000",1170
18651,"$50,000 under $75,000",510
18651,"$75,000 under $100,000",250
18651,"$100,000 under $200,000",260
18651,"$200,000 or more",** 0
,,
18655,,"2,880"
18655,"$1 under $25,000",1040
18655,"$25,000 under $50,000",700
18655,"$50,000 under $75,000",470
18655,"$75,000 under $100,000",310
18655,"$100,000 under $200,000",320
18655,"$200,000 or more",40
,,
18656,,"1,090"
18656,"$1 under $25,000",380
18656,"$25,000 under $50,000",270
18656,"$50,000 under $75,000",160
18656,"$75,000 under $100,000",130
18656,"$100,000 under $200,000",150
18656,"$200,000 or more",** 0
,,
18657,,"5,570"
18657,"$1 under $25,000",2030
18657,"$25,000 under $50,000",1240
18657,"$50,000 under $75,000",880
18657,"$75,000 under $100,000",590
18657,"$100,000 under $200,000",680
18657,"$200,000 or more",150
,,
18660,,"1,860"
18660,"$1 under $25,000",630
18660,"$25,000 under $50,000",460
18660,"$50,000 under $75,000",330
18660,"$75,000 under $100,000",210
18660,"$100,000 under $200,000",200
18660,"$200,000 or more",30
,,
18661,,"2,730"
18661,"$1 under $25,000",1090
18661,"$25,000 under $50,000",670
18661,"$50,000 under $75,000",410
18661,"$75,000 under $100,000",250
18661,"$100,000 under $200,000",270
18661,"$200,000 or more",40
,,
18701,,710
18701,"$1 under $25,000",400
18701,"$25,000 under $50,000",170
18701,"$50,000 under $75,000",60
18701,"$75,000 under $100,000",30
18701,"$100,000 under $200,000",50
18701,"$200,000 or more",** 0
,,
18702,,"18,080"
18702,"$1 under $25,000",8720
18702,"$25,000 under $50,000",4680
18702,"$50,000 under $75,000",2070
18702,"$75,000 under $100,000",1140
18702,"$100,000 under $200,000",1220
18702,"$200,000 or more",250
,,
18704,,"15,610"
18704,"$1 under $25,000",6360
18704,"$25,000 under $50,000",3970
18704,"$50,000 under $75,000",2250
18704,"$75,000 under $100,000",1310
18704,"$100,000 under $200,000",1460
18704,"$200,000 or more",260
,,
18705,,"7,550"
18705,"$1 under $25,000",3180
18705,"$25,000 under $50,000",2040
18705,"$50,000 under $75,000",1050
18705,"$75,000 under $100,000",610
18705,"$100,000 under $200,000",590
18705,"$200,000 or more",80
,,
18706,,"8,090"
18706,"$1 under $25,000",3400
18706,"$25,000 under $50,000",2210
18706,"$50,000 under $75,000",1160
18706,"$75,000 under $100,000",630
18706,"$100,000 under $200,000",610
18706,"$200,000 or more",80
,,
18707,,"7,960"
18707,"$1 under $25,000",2510
18707,"$25,000 under $50,000",1430
18707,"$50,000 under $75,000",1060
18707,"$75,000 under $100,000",890
18707,"$100,000 under $200,000",1570
18707,"$200,000 or more",500
,,
18708,,"4,570"
18708,"$1 under $25,000",1480
18708,"$25,000 under $50,000",850
18708,"$50,000 under $75,000",640
18708,"$75,000 under $100,000",480
18708,"$100,000 under $200,000",780
18708,"$200,000 or more",340
,,
18709,,"1,440"
18709,"$1 under $25,000",630
18709,"$25,000 under $50,000",420
18709,"$50,000 under $75,000",240
18709,"$75,000 under $100,000",90
18709,"$100,000 under $200,000",60
18709,"$200,000 or more",** 0
,,
18801,,"4,010"
18801,"$1 under $25,000",1530
18801,"$25,000 under $50,000",920
18801,"$50,000 under $75,000",650
18801,"$75,000 under $100,000",370
18801,"$100,000 under $200,000",440
18801,"$200,000 or more",100
,,
18810,,"2,660"
18810,"$1 under $25,000",1070
18810,"$25,000 under $50,000",650
18810,"$50,000 under $75,000",380
18810,"$75,000 under $100,000",240
18810,"$100,000 under $200,000",250
18810,"$200,000 or more",70
,,
18812,,730
18812,"$1 under $25,000",230
18812,"$25,000 under $50,000",140
18812,"$50,000 under $75,000",120
18812,"$75,000 under $100,000",90
18812,"$100,000 under $200,000",120
18812,"$200,000 or more",30
,,
18818,,610
18818,"$1 under $25,000",230
18818,"$25,000 under $50,000",140
18818,"$50,000 under $75,000",100
18818,"$75,000 under $100,000",70
18818,"$100,000 under $200,000",70
18818,"$200,000 or more",** 0
,,
18821,,540
18821,"$1 under $25,000",220
18821,"$25,000 under $50,000",140
18821,"$50,000 under $75,000",90
18821,"$75,000 under $100,000",50
18821,"$100,000 under $200,000",40
18821,"$200,000 or more",** 0
,,
18822,,"1,620"
18822,"$1 under $25,000",670
18822,"$25,000 under $50,000",440
18822,"$50,000 under $75,000",230
18822,"$75,000 under $100,000",140
18822,"$100,000 under $200,000",140
18822,"$200,000 or more",** 0
,,
18823,,110
18823,"$1 under $25,000",50
18823,"$25,000 under $50,000",20
18823,"$50,000 under $75,000",20
18823,"$75,000 under $100,000",20
18823,"$100,000 under $200,000",** 0
18823,"$200,000 or more",** 0
,,
18824,,620
18824,"$1 under $25,000",230
18824,"$25,000 under $50,000",140
18824,"$50,000 under $75,000",90
18824,"$75,000 under $100,000",70
18824,"$100,000 under $200,000",90
18824,"$200,000 or more",** 0
,,
18826,,880
18826,"$1 under $25,000",300
18826,"$25,000 under $50,000",190
18826,"$50,000 under $75,000",120
18826,"$75,000 under $100,000",110
18826,"$100,000 under $200,000",130
18826,"$200,000 or more",30
,,
18828,,140
18828,"$1 under $25,000",60
18828,"$25,000 under $50,000",40
18828,"$50,000 under $75,000",40
18828,"$75,000 under $100,000",** 0
18828,"$100,000 under $200,000",** 0
18828,"$200,000 or more",** 0
,,
18829,,390
18829,"$1 under $25,000",130
18829,"$25,000 under $50,000",90
18829,"$50,000 under $75,000",70
18829,"$75,000 under $100,000",50
18829,"$100,000 under $200,000",50
18829,"$200,000 or more",** 0
,,
18830,,360
18830,"$1 under $25,000",120
18830,"$25,000 under $50,000",80
18830,"$50,000 under $75,000",60
18830,"$75,000 under $100,000",40
18830,"$100,000 under $200,000",60
18830,"$200,000 or more",** 0
,,
18831,,580
18831,"$1 under $25,000",220
18831,"$25,000 under $50,000",140
18831,"$50,000 under $75,000",90
18831,"$75,000 under $100,000",70
18831,"$100,000 under $200,000",60
18831,"$200,000 or more",** 0
,,
18832,,800
18832,"$1 under $25,000",300
18832,"$25,000 under $50,000",230
18832,"$50,000 under $75,000",130
18832,"$75,000 under $100,000",80
18832,"$100,000 under $200,000",60
18832,"$200,000 or more",** 0
,,
18833,,910
18833,"$1 under $25,000",350
18833,"$25,000 under $50,000",210
18833,"$50,000 under $75,000",160
18833,"$75,000 under $100,000",90
18833,"$100,000 under $200,000",100
18833,"$200,000 or more",** 0
,,
18834,,"1,660"
18834,"$1 under $25,000",610
18834,"$25,000 under $50,000",350
18834,"$50,000 under $75,000",270
18834,"$75,000 under $100,000",180
18834,"$100,000 under $200,000",200
18834,"$200,000 or more",50
,,
18837,,"1,380"
18837,"$1 under $25,000",530
18837,"$25,000 under $50,000",360
18837,"$50,000 under $75,000",230
18837,"$75,000 under $100,000",130
18837,"$100,000 under $200,000",130
18837,"$200,000 or more",** 0
,,
18840,,"5,030"
18840,"$1 under $25,000",1930
18840,"$25,000 under $50,000",1270
18840,"$50,000 under $75,000",710
18840,"$75,000 under $100,000",420
18840,"$100,000 under $200,000",560
18840,"$200,000 or more",140
,,
18842,,150
18842,"$1 under $25,000",50
18842,"$25,000 under $50,000",40
18842,"$50,000 under $75,000",30
18842,"$75,000 under $100,000",30
18842,"$100,000 under $200,000",** 0
18842,"$200,000 or more",** 0
,,
18844,,820
18844,"$1 under $25,000",310
18844,"$25,000 under $50,000",150
18844,"$50,000 under $75,000",130
18844,"$75,000 under $100,000",90
18844,"$100,000 under $200,000",100
18844,"$200,000 or more",40
,,
18845,,180
18845,"$1 under $25,000",70
18845,"$25,000 under $50,000",30
18845,"$50,000 under $75,000",50
18845,"$75,000 under $100,000",** 0
18845,"$100,000 under $200,000",30
18845,"$200,000 or more",** 0
,,
18846,,360
18846,"$1 under $25,000",110
18846,"$25,000 under $50,000",80
18846,"$50,000 under $75,000",60
18846,"$75,000 under $100,000",50
18846,"$100,000 under $200,000",60
18846,"$200,000 or more",** 0
,,
18847,,"2,350"
18847,"$1 under $25,000",920
18847,"$25,000 under $50,000",620
18847,"$50,000 under $75,000",370
18847,"$75,000 under $100,000",180
18847,"$100,000 under $200,000",210
18847,"$200,000 or more",50
,,
18848,,"4,180"
18848,"$1 under $25,000",1620
18848,"$25,000 under $50,000",1070
18848,"$50,000 under $75,000",630
18848,"$75,000 under $100,000",380
18848,"$100,000 under $200,000",390
18848,"$200,000 or more",90
,,
18850,,"1,210"
18850,"$1 under $25,000",430
18850,"$25,000 under $50,000",340
18850,"$50,000 under $75,000",190
18850,"$75,000 under $100,000",130
18850,"$100,000 under $200,000",120
18850,"$200,000 or more",** 0
,,
18851,,320
18851,"$1 under $25,000",120
18851,"$25,000 under $50,000",80
18851,"$50,000 under $75,000",60
18851,"$75,000 under $100,000",30
18851,"$100,000 under $200,000",30
18851,"$200,000 or more",** 0
,,
18853,,"2,040"
18853,"$1 under $25,000",680
18853,"$25,000 under $50,000",480
18853,"$50,000 under $75,000",350
